2452125.57,15.559,0.006
2452129.65,15.541,0.004
2452132.59,15.554,0.005
2452135.73,15.538,0.004
2452140.69,15.547,0.005
2452144.58,15.569,0.005
2452160.56,15.546,0.005
2452168.63,15.556,0.006
2452175.61,15.528,0.007
2452187.54,15.564,0.006
2452206.54,15.555,0.007
2452331.88,15.545,0.005
2452345.91,15.570,0.005
2452355.85,15.557,0.005
2452364.91,15.548,0.005
2452372.81,15.562,0.004
2452403.86,15.564,0.004
2452411.81,15.557,0.004
2452414.74,15.560,0.005
2452416.78,15.543,0.005
2452424.88,15.541,0.006
2452428.78,15.551,0.005
2452432.82,15.560,0.006
2452434.69,15.559,0.005
2452436.74,15.557,0.005
2452438.71,15.550,0.005
2452440.74,15.550,0.005
2452443.72,15.567,0.005
2452445.60,15.573,0.005
2452446.70,15.557,0.005
2452448.59,15.570,0.008
2452453.84,15.551,0.005
2452456.55,15.552,0.005
2452458.69,15.558,0.005
2452460.76,15.545,0.005
2452463.51,15.562,0.005
2452468.59,15.552,0.004
2452470.59,15.550,0.005
2452472.59,15.561,0.004
2452481.49,15.569,0.007
2452484.59,15.572,0.006
2452486.68,15.572,0.007
2452490.65,15.548,0.006
2452493.61,15.557,0.005
2452495.68,15.552,0.005
2452497.76,15.566,0.005
2452498.47,15.570,0.005
2452500.50,15.581,0.005
2452502.53,15.569,0.005
2452508.63,15.562,0.005
2452512.58,15.572,0.005
2452517.62,15.550,0.004
2452520.54,15.541,0.005
2452526.64,15.564,0.005
2452537.62,15.557,0.007
2452542.48,15.549,0.006
2452547.55,15.556,0.005
2452551.59,15.580,0.007
2452556.54,15.569,0.005
2452564.50,15.547,0.006
2452575.50,15.565,0.006
2452706.88,15.557,0.005
2452714.87,15.569,0.005
2452728.90,15.560,0.006
2452733.88,15.557,0.005
2452744.87,15.566,0.005
2452753.85,15.545,0.005
2452756.92,15.551,0.005
2452760.87,15.568,0.005
2452766.92,15.561,0.005
2452770.79,15.542,0.005
2452783.73,15.571,0.005
2452785.84,15.570,0.005
2452786.90,15.561,0.006
2452789.71,15.563,0.005
2452791.69,15.551,0.005
2452794.90,15.558,0.005
2452796.78,15.570,0.005
2452797.94,15.541,0.005
2452809.68,15.560,0.005
2452810.85,15.553,0.005
2452811.88,15.550,0.005
2452813.68,15.563,0.005
2452814.70,15.550,0.005
2452816.56,15.548,0.005
2452818.55,15.550,0.006
2452820.71,15.556,0.005
2452826.72,15.562,0.005
2452836.70,15.530,0.005
2452837.59,15.560,0.006
2452839.64,15.561,0.006
2452841.66,15.564,0.005
2452843.59,15.570,0.004
2452845.62,15.561,0.006
2452849.80,15.554,0.007
2452849.80,15.571,0.007
2452852.49,15.552,0.006
2452852.51,15.574,0.006
2452852.52,15.562,0.006
2452852.56,15.551,0.006
2452854.49,15.554,0.006
2452856.68,15.546,0.006
2452858.65,15.550,0.005
2452862.57,15.551,0.006
2452865.68,15.557,0.005
2452868.56,15.552,0.005
2452871.67,15.569,0.005
2452876.55,15.566,0.005
2452879.60,15.551,0.005
2452885.49,15.550,0.006
2452894.60,15.563,0.005
2452898.58,15.549,0.005
2452904.56,15.583,0.006
2452908.62,15.589,0.008
2452909.55,15.560,0.005
2452917.59,15.557,0.006
2452930.53,15.556,0.005
2453051.87,15.555,0.006
2453058.86,15.564,0.004
2453062.90,15.542,0.004
2453063.89,15.561,0.005
2453067.86,15.564,0.005
2453070.82,15.557,0.006
2453072.90,15.559,0.004
2453075.82,15.538,0.005
2453079.85,15.560,0.005
